Product_Name,Units_Produced,Units_Sold,Unit_Price,Cost_Per_Unit,Month_Year,Region_Market,Total_Revenue,Total_Cost,Profit
Embroidery Fabric,2207,3347,41.14,79.3,Feb-2024,Volta,137695.58,175015.1,-37319.52
Tie & Dye,3277,4449,138.42,32.56,Feb-2024,Volta,615830.58,106699.12,509131.46
Cotton Fabric,2233,1879,126.93,66.69,Feb-2024,Western,238501.47,148918.77,89582.7
Linen Fabric,4010,3706,143.47,27.82,Feb-2024,Eastern,531699.82,111558.2,420141.62
Cotton Fabric,702,2944,114.34,57.71,Feb-2024,Western,336616.96,40512.42,296104.54
Batakari Cloth,3755,3556,99.74,63.22,Feb-2024,Eastern,354675.44,237391.1,117284.34
Kente Cloth,4718,4245,74.37,51.69,Feb-2024,Ashanti,315700.65,243873.42,71827.23
Tie & Dye,4996,1443,141.25,43.01,Feb-2024,Ashanti,203823.75,214877.96,-11054.21
Polyester Fabric,1266,3318,132.59,38.83,Feb-2024,Greater Accra,439933.62,49158.78,390774.84
Tie & Dye,4889,2341,25.88,34.42,Mar-2024,Western,60585.08,168279.38,-107694.3
Linen Fabric,2827,3259,23.43,75.07,Mar-2024,Northern,76358.37,212222.89,-135864.52
Polyester Fabric,3431,4748,68.94,68.14,Mar-2024,Western,327327.12,233788.34,93538.78
Kente Cloth,697,3159,125.37,77.55,Mar-2024,Northern,396043.83,54052.35,341991.48
Linen Fabric,2430,2465,148.35,18.7,Mar-2024,Volta,365682.75,45441.0,320241.75
Wax Print,4082,2679,39.55,61.16,Mar-2024,Western,105954.45,249655.12,-143700.67
Cotton Fabric,1108,4846,97.24,75.68,Mar-2024,Volta,471225.04,83853.44,387371.6
Kente Cloth,3772,1835,69.52,22.69,Mar-2024,Ashanti,127569.2,85586.68,41982.52
Cotton Fabric,1647,1957,146.09,14.65,Mar-2024,Ashanti,285898.13,24128.55,261769.58
Embroidery Fabric,4782,4652,129.48,61.88,Mar-2024,Greater Accra,602340.96,295910.16,306430.8
Wax Print,3897,2270,128.98,50.21,Mar-2024,Western,292784.6,195668.37,97116.23
Wax Print,3011,3049,80.93,68.93,Mar-2024,Volta,246755.57,207548.23,39207.34
Kente Cloth,2294,3451,73.93,19.78,Mar-2024,Northern,255132.43,45375.32,209757.11
Wax Print,1159,3930,55.54,65.67,Mar-2024,Ashanti,218272.2,76111.53,142160.67
Polyester Fabric,3311,2689,27.33,24.11,Mar-2024,Ashanti,73490.37,79828.21,-6337.84
Wax Print,1869,1831,132.41,21.46,Mar-2024,Northern,242442.71,40108.74,202333.97
Cotton Fabric,2486,3016,125.68,21.5,Mar-2024,Volta,379050.88,53449.0,325601.88
Cotton Fabric,646,1215,149.96,67.02,Mar-2024,Volta,182201.4,43294.92,138906.48
Linen Fabric,3719,1548,149.56,56.56,Mar-2024,Western,231518.88,210346.64,21172.24
Cotton Fabric,3411,4811,92.21,46.61,Mar-2024,Western,443622.31,158986.71,284635.6
Linen Fabric,2234,3287,119.97,35.12,Mar-2024,Eastern,394341.39,78458.08,315883.31
Cotton Fabric,2343,3039,142.82,71.4,Mar-2024,Eastern,434029.98,167290.2,266739.78
Polyester Fabric,988,535,130.45,37.47,Mar-2024,Greater Accra,69790.75,37020.36,32770.39
Batakari Cloth,3476,4792,52.16,67.16,Mar-2024,Ashanti,249950.72,233448.16,16502.56
Linen Fabric,2459,1095,78.57,40.74,Mar-2024,Western,86034.15,100179.66,-14145.51
Tie & Dye,2885,3746,36.79,36.39,Mar-2024,Volta,137815.34,104985.15,32830.19
Embroidery Fabric,3419,1051,144.03,42.39,Mar-2024,Northern,151375.53,144931.41,6444.12
Kente Cloth,2302,1887,98.8,31.1,Mar-2024,Volta,186435.6,71592.2,114843.4
Cotton Fabric,4561,2131,49.72,62.33,Mar-2024,Ashanti,105953.32,284287.13,-178333.81
Wax Print,3869,3946,107.32,45.19,Mar-2024,Eastern,423484.72,174840.11,248644.61
Batakari Cloth,762,2627,100.36,26.25,Mar-2024,Volta,263645.72,20002.5,243643.22
Cotton Fabric,1123,1768,66.56,72.97,Apr-2024,Greater Accra,117678.08,81945.31,35732.77
Wax Print,1516,4200,34.76,36.87,Apr-2024,Ashanti,145992.0,55894.92,90097.08
Embroidery Fabric,4143,2938,107.3,48.05,Apr-2024,Eastern,315247.4,199071.15,116176.25
Embroidery Fabric,2549,3698,87.64,73.45,Apr-2024,Northern,324092.72,187224.05,136868.67
Embroidery Fabric,4223,4113,120.4,53.7,Apr-2024,Eastern,495205.2,226775.1,268430.1
Wax Print,3608,1266,87.62,18.18,Apr-2024,Greater Accra,110926.92,65593.44,45333.48
Cotton Fabric,4590,4580,130.78,75.79,Apr-2024,Ashanti,598972.4,347876.1,251096.3
Embroidery Fabric,2556,2644,91.75,53.94,Apr-2024,Northern,242587.0,137870.64,104716.36
Polyester Fabric,3670,4307,92.92,33.44,Apr-2024,Greater Accra,400206.44,122724.8,277481.64
Linen Fabric,2182,3573,133.96,19.75,Apr-2024,Eastern,478639.08,43094.5,435544.58
Wax Print,2755,4169,72.45,65.58,Apr-2024,Greater Accra,302044.05,180672.9,121371.15
Wax Print,1654,2746,37.42,53.41,Apr-2024,Ashanti,102755.32,88340.14,14415.18
Cotton Fabric,4999,953,23.74,47.34,Apr-2024,Western,22624.22,236652.66,-214028.44
Wax Print,3691,2282,118.17,72.57,Apr-2024,Greater Accra,269663.94,267855.87,1808.07
Wax Print,2196,2974,100.64,65.2,Apr-2024,Greater Accra,299303.36,143179.2,156124.16
Embroidery Fabric,4491,3096,111.53,20.62,Apr-2024,Eastern,345296.88,92604.42,252692.46
Cotton Fabric,2148,4385,47.69,31.82,Apr-2024,Eastern,209120.65,68349.36,140771.29
Embroidery Fabric,1945,975,37.73,27.39,Apr-2024,Northern,36786.75,53273.55,-16486.8
Linen Fabric,4699,1825,21.89,62.08,Apr-2024,Eastern,39949.25,291713.92,-251764.67
Batakari Cloth,4423,3269,65.58,12.35,Apr-2024,Volta,214381.02,54624.05,159756.97
Linen Fabric,753,617,96.69,49.89,Apr-2024,Ashanti,59657.73,37567.17,22090.56
Batakari Cloth,3683,314,70.99,63.37,Apr-2024,Ashanti,22290.86,233391.71,-211100.85
Embroidery Fabric,3057,816,76.87,71.37,Apr-2024,Western,62725.92,218178.09,-155452.17
Linen Fabric,598,4174,137.54,33.95,Apr-2024,Western,574091.96,20302.1,553789.86
Cotton Fabric,2700,3467,65.27,67.49,Apr-2024,Ashanti,226291.09,182223.0,44068.09
Kente Cloth,3461,1025,86.82,17.74,Apr-2024,Western,88990.5,61398.14,27592.36
Embroidery Fabric,4933,1716,121.87,69.25,Apr-2024,Northern,209128.92,341610.25,-132481.33
Batakari Cloth,4277,3346,71.55,18.92,Apr-2024,Eastern,239406.3,80920.84,158485.46
Polyester Fabric,3369,612,100.87,37.81,Apr-2024,Ashanti,61732.44,127381.89,-65649.45
Batakari Cloth,3734,928,132.11,65.81,Apr-2024,Western,122598.08,245734.54,-123136.46
Polyester Fabric,4291,3548,143.44,20.49,May-2024,Ashanti,508925.12,87922.59,421002.53
Wax Print,1456,3008,39.12,26.05,May-2024,Volta,117672.96,37928.8,79744.16
Linen Fabric,4567,875,140.46,60.56,May-2024,Greater Accra,122902.5,276577.52,-153675.02
Polyester Fabric,660,3665,83.98,60.4,May-2024,Eastern,307786.7,39864.0,267922.7
Batakari Cloth,4993,2704,53.57,54.88,May-2024,Ashanti,144853.28,274015.84,-129162.56
Wax Print,1800,3167,79.69,58.58,May-2024,Greater Accra,252378.23,105444.0,146934.23
Kente Cloth,4487,2986,147.4,47.99,May-2024,Western,440136.4,215331.13,224805.27
Cotton Fabric,2027,1322,84.04,27.63,May-2024,Greater Accra,111100.88,56006.01,55094.87
Cotton Fabric,1718,4279,62.74,34.2,May-2024,Eastern,268464.46,58755.6,209708.86
Cotton Fabric,4996,1771,102.34,22.71,May-2024,Ashanti,181244.14,113459.16,67784.98
Polyester Fabric,3604,2343,51.22,73.59,May-2024,Volta,120008.46,265218.36,-145209.9
Kente Cloth,3235,1887,29.86,50.84,May-2024,Western,56345.82,164467.4,-108121.58
Polyester Fabric,1454,4332,36.75,38.06,May-2024,Ashanti,159201.0,55339.24,103861.76
Linen Fabric,3946,4051,36.65,42.34,May-2024,Eastern,148469.15,167073.64,-18604.49
Polyester Fabric,1545,3640,39.75,76.31,May-2024,Western,144690.0,117898.95,26791.05
Kente Cloth,2193,3966,38.05,20.73,May-2024,Northern,150906.3,45460.89,105445.41
Kente Cloth,3936,2526,103.31,51.04,May-2024,Greater Accra,260961.06,200893.44,60067.62
Linen Fabric,1062,3114,43.64,45.41,May-2024,Eastern,135894.96,48225.42,87669.54
Kente Cloth,2985,4152,64.94,52.8,May-2024,Northern,269630.88,157608.0,112022.88
Batakari Cloth,3854,795,136.58,11.27,May-2024,Ashanti,108581.1,43434.58,65146.52
Kente Cloth,725,928,81.62,71.05,May-2024,Volta,75743.36,51511.25,24232.11
Cotton Fabric,1459,1565,106.78,75.25,May-2024,Western,167110.7,109789.75,57320.95
Batakari Cloth,3567,4692,42.4,49.56,May-2024,Greater Accra,198940.8,176780.52,22160.28
Batakari Cloth,1315,898,45.0,58.77,May-2024,Western,40410.0,77282.55,-36872.55
Linen Fabric,3620,595,25.31,74.57,May-2024,Ashanti,15059.45,269943.4,-254883.95
Tie & Dye,516,4371,41.96,59.51,May-2024,Western,183407.16,30707.16,152700.0
Tie & Dye,1743,4560,56.22,20.68,May-2024,Greater Accra,256363.2,36045.24,220317.96
Kente Cloth,2705,2702,43.01,50.34,May-2024,Ashanti,116213.02,136169.7,-19956.68
Batakari Cloth,3024,2019,31.53,52.47,May-2024,Western,63659.07,158669.28,-95010.21
Tie & Dye,1569,917,35.68,39.69,May-2024,Volta,32718.56,62273.61,-29555.05
Tie & Dye,3944,2982,79.9,61.55,May-2024,Eastern,238261.8,242753.2,-4491.4
Kente Cloth,3065,3777,46.82,75.41,Jun-2024,Ashanti,176839.14,231131.65,-54292.51
Tie & Dye,1560,343,67.36,74.79,Jun-2024,Eastern,23104.48,116672.4,-93567.92
Polyester Fabric,2827,3340,85.44,41.56,Jun-2024,Ashanti,285369.6,117490.12,167879.48
Wax Print,3920,4691,109.75,17.93,Jun-2024,Volta,514837.25,70285.6,444551.65
Linen Fabric,801,3138,25.11,78.94,Jun-2024,Eastern,78795.18,63230.94,15564.24
Wax Print,4776,3836,123.92,68.72,Jun-2024,Northern,475357.12,328206.72,147150.4
Kente Cloth,1106,3422,101.63,18.73,Jun-2024,Greater Accra,347777.86,20715.38,327062.48
Cotton Fabric,3670,1367,30.63,74.46,Jun-2024,Northern,41871.21,273268.2,-231396.99
Linen Fabric,1199,2816,133.57,70.89,Jun-2024,Western,376133.12,84997.11,291136.01
Kente Cloth,1639,1262,139.71,46.32,Jun-2024,Volta,176314.02,75918.48,100395.54
Batakari Cloth,690,2356,27.94,51.39,Jun-2024,Northern,65826.64,35459.1,30367.54
Cotton Fabric,2800,3182,55.99,37.93,Jun-2024,Ashanti,178160.18,106204.0,71956.18
Wax Print,1480,3494,124.81,13.83,Jun-2024,Western,436086.14,20468.4,415617.74
Kente Cloth,3475,4929,117.27,33.46,Jun-2024,Western,578023.83,116273.5,461750.33
Batakari Cloth,1684,1356,43.99,66.2,Jun-2024,Northern,59650.44,111480.8,-51830.36
Linen Fabric,3827,932,47.22,10.32,Jun-2024,Northern,44009.04,39494.64,4514.4
Linen Fabric,3894,4530,68.16,33.34,Jun-2024,Volta,308764.8,129825.96,178938.84
Embroidery Fabric,627,1153,82.99,37.87,Jun-2024,Greater Accra,95687.47,23744.49,71942.98
Batakari Cloth,2565,2739,100.37,47.62,Jun-2024,Northern,274913.43,122145.3,152768.13
Polyester Fabric,2316,3524,67.96,74.39,Jun-2024,Northern,239491.04,172287.24,67203.8
Tie & Dye,1069,3501,80.13,34.24,Jun-2024,Eastern,280535.13,36602.56,243932.57
Cotton Fabric,2395,1742,117.17,34.29,Jun-2024,Ashanti,204110.14,82124.55,121985.59
Batakari Cloth,3233,1391,24.77,61.63,Jun-2024,Eastern,34455.07,199249.79,-164794.72
Embroidery Fabric,4363,3193,52.82,41.66,Jun-2024,Eastern,168654.26,181762.58,-13108.32
Tie & Dye,4514,2881,112.74,25.72,Jun-2024,Western,324803.94,116100.08,208703.86
Tie & Dye,3401,1417,136.38,41.67,Jun-2024,Greater Accra,193250.46,141719.67,51530.79
Kente Cloth,2186,1740,86.52,19.86,Jun-2024,Ashanti,150544.8,43413.96,107130.84
Tie & Dye,3509,3436,89.17,22.35,Jun-2024,Volta,306388.12,78426.15,227961.97
Polyester Fabric,654,2586,33.93,44.89,Jun-2024,Volta,87742.98,29358.06,58384.92
Linen Fabric,3037,3919,78.16,39.32,Jun-2024,Northern,306309.04,119414.84,186894.2
Embroidery Fabric,1909,1588,89.24,74.04,Jul-2024,Northern,141713.12,141342.36,370.76
Tie & Dye,4557,2056,51.52,35.37,Jul-2024,Volta,105925.12,161181.09,-55255.97
Kente Cloth,1284,1565,55.0,50.64,Jul-2024,Northern,86075.0,65021.76,21053.24
Polyester Fabric,3675,699,69.05,54.26,Jul-2024,Greater Accra,48265.95,199405.5,-151139.55
Wax Print,4841,1880,22.61,10.92,Jul-2024,Eastern,42506.8,52863.72,-10356.92
Linen Fabric,3306,710,61.87,56.45,Jul-2024,Northern,43927.7,186623.7,-142696.0
Linen Fabric,1037,4512,47.49,22.46,Jul-2024,Western,214274.88,23291.02,190983.86
Embroidery Fabric,2341,1524,62.57,77.27,Jul-2024,Northern,95356.68,180889.07,-85532.39
Linen Fabric,2955,1355,35.57,20.41,Jul-2024,Ashanti,48197.35,60311.55,-12114.2
Tie & Dye,1024,2027,135.77,39.02,Jul-2024,Greater Accra,275205.79,39956.48,235249.31
Kente Cloth,3450,3341,97.17,15.97,Jul-2024,Ashanti,324644.97,55096.5,269548.47
Linen Fabric,4631,3686,108.28,79.78,Jul-2024,Ashanti,399120.08,369461.18,29658.9
Linen Fabric,4615,2010,122.59,45.15,Jul-2024,Western,246405.9,208367.25,38038.65
Wax Print,2868,3123,84.8,51.68,Jul-2024,Greater Accra,264830.4,148218.24,116612.16
Wax Print,4347,2414,31.3,14.7,Jul-2024,Greater Accra,75558.2,63900.9,11657.3
Cotton Fabric,4995,4386,89.82,62.5,Jul-2024,Greater Accra,393950.52,312187.5,81763.02
Polyester Fabric,3201,913,96.29,24.69,Jul-2024,Greater Accra,87912.77,79032.69,8880.08
Tie & Dye,1471,3802,116.91,72.86,Jul-2024,Greater Accra,444491.82,107177.06,337314.76
