Product_Name,Units_Produced,Units_Sold,Unit_Price,Cost_Per_Unit,Month,Year,Region/Market,Total_Revenue,Total_Cost,Profit,Labor_Cost,Machine_Hours,Defects,Downtime_Hours
Rubber Tubes,3476,2727,16.13,20.78,Jun,2024,Tamale,43986.51,72231.28,-28244.77,12416.16,320.7,148,13.1
Rubber Seals,2459,1868,25.27,12.1,Nov,2025,Tamale,47204.36,29753.9,17450.46,9895.08,418.6,137,36.6
Plastic Bottles,2885,4300,10.81,10.67,Apr,2025,Kumasi,46483,30782.95,15700.05,15054.64,447.9,57,49.6
Rubber Gloves,3419,3038,47.93,12.64,Oct,2025,Tamale,145611.34,43216.16,102395.18,10760.04,152.6,119,5.9
Polyethylene Sheets,2302,3798,32.28,8.93,Oct,2024,Takoradi,122599.44,20556.86,102042.58,17721.62,145.4,166,20.7
Plastic Bins,4561,4213,15.29,19.2,Feb,2023,Accra,64416.77,87571.2,-23154.43,18212.63,324.9,132,40.2
Plastic Bottles,3869,1366,35.23,13.56,Jul,2024,Tamale,48124.18,52463.64,-4339.46,9590.98,235,64,11
Rubber Gloves,762,4680,32.82,7.34,May,2023,Accra,153597.6,5593.08,148004.52,6982.9,427.9,12,28.2
PVC Pipes,1123,2744,21.12,22.69,Nov,2023,Kumasi,57953.28,25480.87,32472.41,12662.31,455,180,36.9
Plastic Containers,1516,4407,10.11,10.83,Jun,2024,Accra,44554.77,16418.28,28136.49,18422.54,209,81,31.2
Plastic Chairs,4143,3673,35.22,14.5,Feb,2023,Kumasi,129363.06,60073.5,69289.56,5791.92,156.6,172,10.2
Plastic Bins,2549,4269,28.41,22.85,May,2023,Takoradi,121282.29,58244.65,63037.64,13213.4,401.2,159,18.4
PVC Pipes,4223,2846,39.75,16.36,Oct,2025,Kumasi,113128.5,69088.28,44040.22,13368.08,173.7,163,39.4
Rubber Seals,3608,1053,28.41,4.69,Apr,2023,Kumasi,29915.73,16921.52,12994.21,15196.03,420.2,187,28.2
PVC Pipes,4590,2382,43.35,23.62,Sep,2024,Cape Coast,103259.7,108415.8,-5156.1,4368.22,240.7,138,1.3
Plastic Containers,2556,3074,29.84,16.44,Jun,2024,Tamale,91728.16,42020.64,49707.52,14884.85,350.4,190,38.3
Rubber Seals,3670,3196,30.24,9.7,Feb,2023,Tamale,96647.04,35599,61048.04,18362.59,93,148,2.7
Plastic Bins,2182,4485,44.45,5.2,Jan,2025,Takoradi,199358.25,11346.4,188011.85,5234.3,330.7,51,37.5
Plastic Containers,2755,1075,23.16,20.26,May,2025,Takoradi,24897,55816.3,-30919.3,6275.78,253.3,182,10.9
Rubber Tubes,1654,1925,11.03,16.26,Sep,2023,Tamale,21232.75,26894.04,-5661.29,19485.11,314,116,47.9
Plastic Chairs,4999,3369,6.3,14.27,Jun,2023,Cape Coast,21224.7,71335.73,-50111.03,5257.59,125.6,25,19
Plastic Bins,3691,717,38.98,22.56,Oct,2024,Tamale,27948.66,83268.96,-55320.3,17378.93,381.6,195,17
Rubber Tubes,2196,414,32.91,20.14,Dec,2023,Cape Coast,13624.74,44227.44,-30602.7,10861,438.3,33,8.3
Rubber Gloves,4491,916,36.68,5.49,Jul,2025,Takoradi,33598.88,24655.59,8943.29,6450.16,147.5,51,16
Plastic Bins,2148,4274,14.58,9.17,May,2023,Accra,62314.92,19697.16,42617.76,17673.5,93.1,111,44
Rubber Gloves,1945,3567,11.14,7.72,Oct,2024,Takoradi,39736.38,15015.4,24720.98,10015.49,60.6,81,49.8
Rubber Seals,4699,1125,5.65,19.11,Jun,2024,Takoradi,6356.25,89797.89,-83441.64,11266.71,338.9,179,19
Rubber Tubes,4423,1816,20.78,2.77,May,2024,Kumasi,37736.48,12251.71,25484.77,8466.2,323.2,156,23
Plastic Chairs,753,3446,31.55,15.11,Nov,2024,Kumasi,108721.3,11377.83,97343.47,12673.12,296,165,36.4
Plastic Containers,3683,712,22.65,19.54,Sep,2024,Kumasi,16126.8,71965.82,-55839.02,4943.43,154.4,41,44.4
Rubber Mats,3057,1028,24.69,22.17,Jun,2023,Kumasi,25381.32,67773.69,-42392.37,9039.47,225.9,20,30.1
PVC Pipes,598,3648,45.69,9.87,Nov,2023,Cape Coast,166677.12,5902.26,160774.86,19449.42,317.5,41,20.2
Plastic Bottles,2700,3108,20.67,20.89,Aug,2023,Tamale,64242.36,56403,7839.36,6646.4,273.5,140,21.2
Plastic Chairs,3461,975,28.13,4.54,Feb,2023,Accra,27426.75,15712.94,11713.81,13821.26,494.5,112,35.1
Rubber Tubes,4933,3765,40.26,21.47,Dec,2024,Takoradi,151578.9,105911.51,45667.39,7853.42,111.4,104,1.2
Rubber Mats,4277,2804,22.84,4.93,Sep,2025,Cape Coast,64043.36,21085.61,42957.75,15922.52,362.8,191,31.4
Plastic Chairs,3369,3267,32.99,11.14,May,2023,Accra,107778.33,37530.66,70247.67,4355.73,231.9,16,18.4
Rubber Tubes,3734,3086,43.81,20.34,Jul,2025,Cape Coast,135197.66,75949.56,59248.1,19456.78,242.7,119,39.9
Polyethylene Sheets,4291,1422,47.73,5.45,Oct,2023,Cape Coast,67872.06,23385.95,44486.11,10168.21,372.9,136,5.6
Polyethylene Sheets,1456,4379,11.62,7.27,Jan,2023,Takoradi,50883.98,10585.12,40298.86,6248.91,361.6,168,29.8
Rubber Gloves,4567,1871,46.7,18.61,Oct,2025,Tamale,87375.7,84991.87,2383.83,3322.94,496.1,128,24.6
Plastic Chairs,660,2443,27.15,18.56,May,2024,Kumasi,66327.45,12249.6,54077.85,5055.64,107.8,129,32.5
Polyethylene Sheets,4993,1987,16.62,16.75,Dec,2023,Tamale,33023.94,83632.75,-50608.81,11355.93,96.8,59,4.2
Rubber Tubes,1800,4432,25.66,17.96,Oct,2023,Takoradi,113725.12,32328,81397.12,8066.06,376,47,29.4
Rubber Gloves,4487,4151,49.1,14.48,Feb,2023,Takoradi,203814.1,64971.76,138842.34,16919.9,310.3,28,28.5
Rubber Tubes,2027,3740,27.17,7.79,Dec,2025,Takoradi,101615.8,15790.33,85825.47,9755.98,173.4,96,28.5
Rubber Gloves,1718,4066,19.79,9.95,Jun,2024,Accra,80466.14,17094.1,63372.04,6476.86,85.7,9,30.6
Plastic Chairs,4996,2626,33.5,6.18,Nov,2025,Tamale,87971,30875.28,57095.72,13108.61,88.5,57,34.1
Rubber Mats,3604,3214,15.81,22.89,Jan,2025,Tamale,50813.34,82495.56,-31682.22,14721.99,452.4,187,40.4
Plastic Containers,3235,4252,8.41,15.42,Mar,2024,Cape Coast,35759.32,49883.7,-14124.38,5006.75,136.3,20,14.2
Plastic Bins,1454,895,10.8,11.22,May,2025,Cape Coast,9666,16313.88,-6647.88,5017.15,195.5,27,41.4
Rubber Mats,3946,1028,10.76,12.63,Apr,2024,Cape Coast,11061.28,49837.98,-38776.7,2660.09,152,33,25.4
Rubber Seals,1545,1665,11.84,23.79,Mar,2023,Takoradi,19713.6,36755.55,-17041.95,15255.24,209.7,7,4.8
Rubber Tubes,2193,4792,11.25,5.53,Oct,2024,Tamale,53910,12127.29,41782.71,13948.48,81.2,186,3.9
Rubber Seals,3936,998,33.84,15.48,May,2023,Takoradi,33772.32,60929.28,-27156.96,10543.36,283.6,199,17.4
Rubber Mats,1062,695,13.18,13.64,Nov,2025,Accra,9160.1,14485.68,-5325.58,17195.07,80.4,176,39.5
Rubber Gloves,2985,4471,20.56,16.06,Aug,2025,Cape Coast,91923.76,47939.1,43984.66,16502.06,410.2,78,35.7
Plastic Bins,3854,4660,45.36,2.42,Nov,2023,Takoradi,211377.6,9326.68,202050.92,12536.38,155.2,144,39.6
Plastic Bins,725,2802,26.33,22.06,Apr,2025,Takoradi,73776.66,15993.5,57783.16,17628.88,293,187,26.3
Plastic Bottles,1459,2119,35.04,23.44,Jan,2024,Accra,74249.76,34198.96,40050.8,5705.14,446,86,22.6
Plastic Bins,3567,1017,12.75,15,Nov,2023,Kumasi,12966.75,53505,-40538.25,4014.55,342.9,87,8.2
Plastic Containers,1315,3082,13.65,18.02,Jul,2025,Tamale,42069.3,23696.3,18373,6855.49,289.8,172,17.1
Plastic Bins,3620,3877,6.84,23.22,Aug,2023,Kumasi,26518.68,84056.4,-57537.72,3027.56,196,68,22.3
Rubber Mats,516,443,12.6,18.27,Mar,2024,Cape Coast,5581.8,9427.32,-3845.52,11561.05,199.9,159,5.3
Plastic Bottles,1743,3440,17.54,5.51,Jun,2024,Takoradi,60337.6,9603.93,50733.67,18858.9,351.3,171,11.8
Rubber Mats,2705,4791,12.97,15.25,Feb,2025,Accra,62139.27,41251.25,20888.02,2708.18,497.4,192,30.3
Rubber Mats,3024,3238,8.99,15.95,Jul,2024,Accra,29109.62,48232.8,-19123.18,4197.98,347.8,86,37
PVC Pipes,1569,3936,10.43,11.76,Aug,2023,Tamale,41052.48,18451.44,22601.04,10139.58,301,100,49.9
Plastic Bottles,3944,3522,25.74,18.94,Jun,2024,Kumasi,90656.28,74699.36,15956.92,18809.75,378.8,7,46.7
Rubber Mats,3065,1467,14.29,23.49,Jun,2023,Tamale,20963.43,71996.85,-51033.42,7690.81,259.3,76,32.5
PVC Pipes,1560,2916,21.39,23.29,May,2023,Takoradi,62373.24,36332.4,26040.84,11130.23,77.1,199,21.6
PVC Pipes,2827,1362,27.65,12.37,Aug,2024,Tamale,37659.3,34969.99,2689.31,2748.31,303,86,32.2
Plastic Bottles,3920,2456,36.07,4.6,Jan,2025,Accra,88587.92,18032,70555.92,4670.18,480.9,42,39.5
Rubber Seals,801,3282,6.77,24.65,Oct,2024,Accra,22219.14,19744.65,2474.49,19759.34,128.9,128,6.8
Rubber Gloves,4776,3594,40.97,21.29,Apr,2023,Cape Coast,147246.18,101681.04,45565.14,19372.14,360.5,108,21.1
Plastic Containers,1106,1456,33.26,4.87,Apr,2023,Cape Coast,48426.56,5386.22,43040.34,2088.92,140.4,178,42.2
Rubber Gloves,3670,1032,8.68,23.18,Mar,2024,Takoradi,8957.76,85070.6,-76112.84,19132.61,291.1,151,19.8
Plastic Bins,1199,4630,44.31,22.01,Mar,2025,Kumasi,205155.3,26389.99,178765.31,13504.16,93.5,151,29
Plastic Containers,1639,1253,46.44,13.93,Apr,2025,Tamale,58189.32,22831.27,35358.05,17622.53,252.7,16,29.8
Plastic Bins,690,2839,7.75,15.6,Nov,2023,Takoradi,22002.25,10764,11238.25,10185.32,390.3,132,10
Rubber Mats,2800,3624,17.46,11.18,Jan,2023,Cape Coast,63275.04,31304,31971.04,11280.73,206.4,147,18.7
Rubber Tubes,1480,3601,41.28,3.26,Nov,2025,Tamale,148649.28,4824.8,143824.48,10799.24,349.2,20,17.4
Plastic Bottles,3475,1842,38.67,9.71,Nov,2024,Cape Coast,71230.14,33742.25,37487.89,14003.56,408,57,2.3
Plastic Containers,1684,1491,13.3,20.47,Feb,2023,Tamale,19830.3,34471.48,-14641.18,4513.72,467.2,158,2.2
Plastic Containers,3827,3293,14.42,2.11,Sep,2023,Kumasi,47485.06,8074.97,39410.09,2539.52,155.6,109,41.8
Rubber Mats,3894,2981,21.67,9.67,Oct,2025,Takoradi,64598.27,37654.98,26943.29,7542.74,229.7,138,14.4
Rubber Seals,627,1517,26.8,11.16,Feb,2024,Tamale,40655.6,6997.32,33658.28,14684.25,118.6,179,26.4
PVC Pipes,2565,1840,32.82,14.36,May,2025,Accra,60388.8,36833.4,23555.4,5633.36,496.6,142,15.6
Rubber Mats,2316,3536,21.6,23.16,Sep,2024,Accra,76377.6,53638.56,22739.04,14121.78,467.2,134,47.1
Polyethylene Sheets,1069,2686,25.81,9.97,Sep,2024,Tamale,69325.66,10657.93,58667.73,19458.42,293,27,13.7
PVC Pipes,2395,4019,38.64,9.98,Aug,2024,Tamale,155294.16,23902.1,131392.06,3690.21,428.9,50,22.1
Plastic Bottles,3233,1688,6.65,18.96,Jan,2023,Tamale,11225.2,61297.68,-50072.48,14106.84,284.4,185,43.8
PVC Pipes,4363,2156,16.36,12.4,Jan,2025,Accra,35272.16,54101.2,-18829.04,9987.5,330.6,4,42.3
Rubber Seals,4514,1665,37.1,7.17,Sep,2025,Accra,61771.5,32365.38,29406.12,17626.56,90.1,4,10.1
PVC Pipes,3401,799,45.28,12.41,Nov,2024,Tamale,36178.72,42206.41,-6027.69,5188.7,389.9,93,40.3
Plastic Bottles,2186,1980,28.03,5.24,Aug,2023,Cape Coast,55499.4,11454.64,44044.76,14467.27,107.5,95,23.5
Rubber Seals,3509,810,28.95,6.06,Oct,2023,Cape Coast,23449.5,21264.54,2184.96,17086.08,421.7,7,24.7
Rubber Gloves,654,4612,9.82,13.46,Sep,2025,Kumasi,45289.84,8802.84,36487,19003.06,401.9,63,7.5
Plastic Containers,3037,1624,25.13,11.64,Jul,2023,Takoradi,40811.12,35350.68,5460.44,14298.46,368.9,137,4.9
Plastic Containers,1909,1455,28.97,23.04,Mar,2023,Cape Coast,42151.35,43983.36,-1832.01,10949.15,66.3,37,36.7
Plastic Bins,4557,2127,15.91,10.34,Mar,2024,Accra,33840.57,47119.38,-13278.81,13121.25,186.4,110,25.3
Rubber Gloves,1284,3441,17.12,15.35,Feb,2023,Cape Coast,58909.92,19709.4,39200.52,17640.29,168.4,111,22.4
Rubber Gloves,3675,3786,21.98,16.54,May,2024,Kumasi,83216.28,60784.5,22431.78,12270.98,212.1,80,36.7
PVC Pipes,4841,2110,5.9,2.3,Dec,2025,Kumasi,12449,11134.3,1314.7,2546.97,89.4,135,38.5
Plastic Containers,3306,3223,19.49,17.26,Dec,2023,Takoradi,62816.27,57061.56,5754.71,18757.08,471.6,103,8.8
Plastic Bottles,1037,2514,14.52,6.09,Mar,2025,Cape Coast,36503.28,6315.33,30187.95,14411.48,299.2,152,30.9
Plastic Chairs,2341,4486,19.74,24.1,Jun,2025,Accra,88553.64,56418.1,32135.54,14177.24,187.5,72,7.6
Plastic Chairs,2955,1013,10.39,5.42,Feb,2023,Accra,10525.07,16016.1,-5491.03,5882.15,228.6,193,37.8
Rubber Seals,1024,3902,45.07,11.54,Dec,2023,Tamale,175863.14,11816.96,164046.18,13859.94,251.2,177,33.2
Plastic Containers,3450,4434,31.71,3.96,Mar,2025,Accra,140602.14,13662,126940.14,9089.56,320.3,194,47.9
Plastic Containers,4631,3822,35.56,24.93,May,2023,Takoradi,135910.32,115450.83,20459.49,13722.19,282.1,48,4.4
Plastic Chairs,4615,4568,40.51,13.55,Dec,2024,Takoradi,185049.68,62533.25,122516.43,3918.67,463.7,35,3.8
Plastic Containers,2868,1543,27.43,15.69,Nov,2024,Accra,42324.49,44998.92,-2674.43,13841.22,273.6,125,14.8
PVC Pipes,4347,4009,8.91,3.54,Nov,2023,Accra,35720.19,15388.38,20331.81,19989.45,496.5,67,13.8
Polyethylene Sheets,4995,1381,29.17,19.25,Jan,2025,Tamale,40283.77,96153.75,-55869.98,2867.82,433.1,77,13.1
Rubber Tubes,3201,755,31.41,6.83,Jan,2023,Accra,23714.55,21862.83,1851.72,19589.14,143.8,104,45.4
Rubber Gloves,1471,1194,38.54,22.66,Oct,2023,Tamale,46016.76,33332.86,12683.9,9324.34,468.8,168,13.2
Plastic Bins,1666,1684,24.42,6.72,Sep,2025,Tamale,41123.28,11195.52,29927.76,17673.56,102.4,121,14.3
Rubber Seals,3274,2258,10.74,6.39,Jul,2025,Accra,24250.92,20920.86,3330.06,16082.94,417.9,118,38.2
Polyethylene Sheets,2482,3372,17.77,2.84,Jan,2024,Kumasi,59920.44,7048.88,52871.56,12206.29,221.3,189,23
Plastic Chairs,1353,2296,21.34,12.86,Dec,2025,Kumasi,48996.64,17399.58,31597.06,15292.09,445.1,113,39.1
Rubber Gloves,4646,4585,34.07,14.99,Aug,2024,Tamale,156210.95,69643.54,86567.41,17813.28,440.6,9,4.2
Plastic Containers,4236,804,30.69,3.51,Mar,2025,Accra,24674.76,14868.36,9806.4,9274.53,412.7,148,24.9
Plastic Bins,4269,1514,21.02,19.84,Aug,2023,Kumasi,31824.28,84696.96,-52872.68,7886.6,405.5,163,2.6
Plastic Containers,1074,1831,49.39,12.43,May,2024,Accra,90433.09,13349.82,77083.27,14016.68,187.1,139,4.1
Plastic Bottles,3761,3740,32.26,14.06,Jan,2024,Accra,120652.4,52879.66,67772.74,16541.23,86.4,90,45.4
Plastic Bottles,1648,1123,15.68,12.14,Jul,2024,Accra,17608.64,20006.72,-2398.08,15721.13,231.3,1,7.8
Plastic Bins,2215,1228,9.58,11.22,May,2023,Cape Coast,11764.24,24852.3,-13088.06,16360.65,128.1,117,27.1
Plastic Bins,4354,433,11.88,14.87,Jun,2023,Accra,5144.04,64743.98,-59599.94,9840.5,362.7,12,21.1
Plastic Chairs,2991,2405,16.07,5.57,Jun,2023,Cape Coast,38648.35,16659.87,21988.48,16721.02,205.7,180,18
Plastic Bins,3160,3927,12.23,6.18,Aug,2023,Tamale,48027.21,19528.8,28498.41,4163.76,489,159,45.1
PVC Pipes,3624,2152,13.4,21.82,Sep,2023,Kumasi,28836.8,79075.68,-50238.88,11800.8,338.4,94,2.1
Plastic Containers,3551,4475,17.83,23.76,Feb,2024,Kumasi,79789.25,84371.76,-4582.51,2103.66,420.1,143,33.5
Polyethylene Sheets,504,3233,12.8,10.59,Sep,2023,Kumasi,41382.4,5337.36,36045.04,7842.54,109.6,31,48.2
Rubber Mats,1376,3584,45.35,8.23,Dec,2024,Kumasi,162534.4,11324.48,151209.92,8596.31,437.9,31,28.4
Plastic Bins,1491,4598,8.61,16.81,Nov,2023,Kumasi,39588.78,25063.71,14525.07,9131.11,465.2,123,46.9
Rubber Seals,4642,3111,28.6,11.4,Oct,2025,Kumasi,88974.6,52918.8,36055.8,14518.41,269.2,10,3.6
Plastic Bottles,4864,1550,23.47,2.58,Sep,2024,Kumasi,36378.5,12549.12,23829.38,8994.05,322.8,9,21.5
PVC Pipes,4965,3812,49.21,5.59,Oct,2025,Tamale,187588.52,27754.35,159834.17,10076.49,394.2,14,13.7
Rubber Gloves,1135,1556,10.04,18.47,Oct,2024,Accra,15622.24,20963.45,-5341.21,6275.79,128.7,16,36.8
Rubber Mats,2193,3676,22.9,17.16,Jul,2025,Takoradi,84180.4,37631.88,46548.52,8718.53,276.2,167,49.1
Polyethylene Sheets,2182,3786,48.63,2.62,Jan,2023,Cape Coast,184113.18,5716.84,178396.34,6090.85,229.4,145,13.6
Rubber Mats,619,3884,43.95,7.11,Jul,2023,Takoradi,170701.8,4401.09,166300.71,3317.53,115.9,182,33.1
Plastic Bins,1330,1696,41.77,7.31,Oct,2023,Takoradi,70841.92,9722.3,61119.62,12862.07,215.4,152,10.7
Plastic Chairs,4175,3937,16.61,17.45,May,2024,Accra,65393.57,72853.75,-7460.18,14027.83,80.7,58,28.7
Plastic Bottles,1869,3630,12.69,2.45,Jun,2025,Accra,46064.7,4579.05,41485.65,13150.83,61.6,77,23.7
Plastic Bottles,1240,3003,35.09,4.39,Oct,2023,Accra,105375.27,5443.6,99931.67,10342.89,110.8,123,48.6
Rubber Gloves,616,770,46.82,20.4,Jul,2025,Kumasi,36051.4,12566.4,23485,8836.14,483.4,113,30.8
Plastic Chairs,3338,1653,30.05,6.11,May,2025,Tamale,49672.65,20395.18,29277.47,17540.01,297.3,21,18.1
Plastic Containers,1650,3083,30.72,17.01,Jul,2023,Kumasi,94709.76,28066.5,66643.26,11343.47,484.6,157,6.6
Rubber Tubes,2431,3131,17.6,7.48,Sep,2023,Tamale,55105.6,18183.88,36921.72,10625.27,244.6,171,8.4
PVC Pipes,1512,657,39.63,4.29,Mar,2025,Tamale,26036.91,6486.48,19550.43,2461.56,190.3,31,12
Plastic Bottles,2164,3319,13.42,7.59,Aug,2023,Takoradi,44540.98,16424.76,28116.22,8142.46,277.8,178,13.3
Rubber Seals,1581,967,19.57,18.61,Feb,2023,Takoradi,18924.19,29422.41,-10498.22,8843.52,247.8,173,42.7
Plastic Bottles,1012,4768,24.14,21.68,Nov,2023,Tamale,115099.52,21940.16,93159.36,9178.81,97.5,112,28.5
Rubber Mats,3349,1445,27.84,21.1,Jul,2024,Tamale,40228.8,70663.9,-30435.1,12443.1,338.4,119,26.6
Plastic Bottles,1059,4485,15.91,11.14,Feb,2025,Kumasi,71356.35,11797.26,59559.09,11604.85,147.2,148,6.6
Plastic Bottles,4172,4019,10.17,17.37,Apr,2025,Kumasi,40873.23,72467.64,-31594.41,12942.29,328.8,121,43.1
Rubber Tubes,3843,3045,32.48,6.71,Jul,2024,Takoradi,98901.6,25786.53,73115.07,15767.9,342.6,31,36.4
Rubber Tubes,4570,839,17.99,8.74,Mar,2025,Accra,15093.61,39941.8,-24848.19,16633.74,118.4,118,4.3
Polyethylene Sheets,1970,3079,31.16,22.62,Feb,2023,Tamale,95941.64,44561.4,51380.24,14926.22,77.6,38,35.7
Plastic Containers,1080,4436,11.95,2.3,Nov,2025,Kumasi,53010.2,2484,50526.2,19199.43,401.3,11,27.6
Rubber Seals,2794,4075,26.65,3.97,Oct,2023,Takoradi,108598.75,11092.18,97506.57,2328.19,256.9,174,5
Plastic Bottles,3647,2808,28.97,6.78,Jul,2024,Kumasi,81347.76,24726.66,56621.1,5524,76.2,17,23.5
Plastic Bottles,4749,3079,7.33,2.61,Jan,2023,Tamale,22569.07,12394.89,10174.18,2136.13,497.7,148,24.8
PVC Pipes,2179,1224,20.15,6.17,Aug,2025,Tamale,24663.6,13444.43,11219.17,13654.54,76,140,9.1
Rubber Tubes,4006,3256,11.05,15.41,Mar,2025,Cape Coast,35978.8,61732.46,-25753.66,18164.55,362.8,148,47.3
Rubber Seals,3244,1881,7.85,11.69,Dec,2025,Accra,14765.85,37922.36,-23156.51,6382.68,492.7,125,42.6
Rubber Gloves,3856,3624,49.55,22.53,Dec,2024,Cape Coast,179569.2,86875.68,92693.52,18686.62,157.6,135,33.8
Polyethylene Sheets,4545,4785,19.51,20.8,Feb,2024,Takoradi,93355.35,94536,-1180.65,3084.81,114,45,23.7
Plastic Containers,1743,555,41.44,9.86,Mar,2025,Kumasi,22999.2,17185.98,5813.22,18819.85,104.6,103,21.2
Plastic Chairs,3618,2138,16.46,7.97,May,2023,Takoradi,35191.48,28835.46,6356.02,8329.21,186.5,134,32.9
Plastic Containers,2641,2244,35.67,10.73,Nov,2024,Tamale,80043.48,28337.93,51705.55,3825.57,95.5,150,27.7
Rubber Mats,3559,309,39.21,15.58,Aug,2025,Cape Coast,12115.89,55449.22,-43333.33,10745.69,361.5,85,4.1
Plastic Bottles,3459,3171,31.8,8.17,Oct,2025,Cape Coast,100837.8,28260.03,72577.77,6621.98,78,149,26.1
Polyethylene Sheets,2765,1097,26.22,16.36,Jul,2024,Cape Coast,28763.34,45235.4,-16472.06,7127.71,279.2,88,40.5
Rubber Mats,2979,1315,23.53,11.42,Jul,2024,Takoradi,30941.95,34020.18,-3078.23,7531.22,498.5,21,23.5
Rubber Seals,2135,2124,20.7,14.7,Dec,2024,Tamale,43966.8,31384.5,12582.3,16454.47,416.3,91,3.5
Plastic Chairs,2257,4769,46.83,12.03,Jul,2023,Kumasi,223332.27,27151.71,196180.56,11704.9,326.8,28,39.5
Rubber Tubes,4952,3436,42.38,8.77,Aug,2023,Kumasi,145617.68,43429.04,102188.64,7603.54,187.8,12,10.9
Polyethylene Sheets,2570,2493,48.43,23.81,Jan,2025,Takoradi,120735.99,61191.7,59544.29,12986.01,330.8,1,13.7
